age,gender,spotify_usage_period,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preferred_premium_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_Influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction
20-35,Female,More than 2 years,"Smartphone, Computer or laptop, Wearable devices",Free,No,Free,Music,Electronic/Dance,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists, Others",4,Rarely,Health and Fitness,Conversational,Both,Shorter,Ok
20-35,Female,Less than 6 months,Smartphone,Free,No,Free,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time",recommendations,3,Never,None,None,None,None,Ok
20-35,Male,1 year to 2 years,"Smartphone, Smart speakers or voice assistants",Free,No,Free,Music,Rap,Night,"Relaxation and stress relief, Uplifting and motivational",leisure time,recommendations,4,Never,None,None,None,None,Ok
20-35,Female,Less than 6 months,Wearable devices,Free,No,Free,Music,Melody,Morning,Relaxation and stress relief,leisure time,"recommendations, Others",3,Never,None,None,None,None,Ok
20-35,Male,6 months to 1 year,"Smartphone, Computer or laptop",Free,Yes,Student Plan,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Workout session, leisure time","recommendations, Playlists, Radio",5,Never,None,None,None,None,Ok
20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Free,No,Free,Podcast,Rap,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Workout session","recommendations, Playlists",5,Several times a week,Lifestyle and Health,Educational,Well known individuals,Both,Satisfied
35-60,Male,More than 2 years,Smartphone,Free,Yes,Individual Plan,Music,Melody,Night,Uplifting and motivational,"While Traveling, Workout session, leisure time",Playlists,4,Never,None,None,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free,No,Free,Music,Melody,Night,Relaxation and stress relief,leisure time,recommendations,4,Rarely,Food and cooking,Interview,Well known individuals,Shorter,Very Satisfied
20-35,Male,More than 2 years,"Smartphone, Smart speakers or voice assistants, Wearable devices",Free,No,Free,Music,Rock,Night,Relaxation and stress relief,leisure time,Playlists,3,Never,None,None,None,None,Ok
20-35,Female,6 months to 1 year,Smartphone,Free,No,Free,Music,Pop,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,4,Rarely,Lifestyle and Health,Conversational,Both,Shorter,Satisfied
20-35,Male,1 year to 2 years,"Smartphone, Computer or laptop",Family Plan,Yes,Family Plan,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,5,Daily,Health and Fitness,Story telling,Both,Both,Satisfied
35-60,Female,Less than 6 months,Smartphone,Free,No,Free,Podcast,classical,Night,Relaxation and stress relief,leisure time,recommendations,4,Several times a week,Lifestyle and Health,Conversational,Well known individuals,Shorter,Satisfied
20-35,Female,Less than 6 months,Smartphone,Free,No,Free,Podcast,Melody,Night,Relaxation and stress relief,leisure time,"Radio, Others",4,Rarely,Lifestyle and Health,Educational,Both,Both,Satisfied
20-35,Female,More than 2 years,Smartphone,Individual Plan,Yes,Individual Plan,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","Radio, Others",3,Rarely,Lifestyle and Health,Conversational,Well known individuals,Shorter,Very Satisfied
20-35,Female,Less than 6 months,Smartphone,Free,No,Free,Music,Pop,Night,Relaxation and stress relief,"Workout session, leisure time",recommendations,3,Rarely,Comedy,Conversational,Well known individuals,Shorter,Ok
20-35,Male,More than 2 years,Smartphone,Free,No,Free,Music,Pop,Night,Relaxation and stress relief,While Traveling,recommendations,5,Rarely,Comedy,Interview,Both,Shorter,Satisfied
20-35,Male,1 year to 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Free,No,Free,Music,Melody,Afternoon,Relaxation and stress relief,"Office hours, While Traveling, leisure time","recommendations, Playlists",5,Never,None,None,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free,No,Free,Music,Electronic/Dance,Night,Relaxation and stress relief,leisure time,Others,4,Rarely,Sports,Educational,unknown Podcasters,Both,Ok
20-35,Female,1 year to 2 years,Smartphone,Free,No,Free,Music,Pop,Night,Relaxation and stress relief,"While Traveling, Workout session, leisure time",Playlists,5,Several times a week,Comedy,Story telling,unknown Podcasters,Shorter,Very Satisfied
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free,No,Free,Music,classical,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling, leisure time","recommendations, Playlists",4,Never,None,None,None,None,Ok
20-35,Female,1 year to 2 years,Computer or laptop,Free,Yes,Duo plan,Music,Melody,Night,Uplifting and motivational,Workout session,Radio,3,Rarely,Food and cooking,Educational,Well known individuals,Both,Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free,Yes,Student Plan,Music,Melody,Morning,Relaxation and stress relief,While Traveling,"recommendations, Playlists",5,Never,None,None,None,None,Ok
20-35,Female,1 year to 2 years,Smartphone,Free,No,Free,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational",leisure time,recommendations,4,Rarely,Food and cooking,Conversational,Both,Shorter,Ok
20-35,Male,More than 2 years,Smartphone,Family Plan,Yes,Family Plan,Podcast,Pop,Night,Uplifting and motivational,Study Hours,recommendations,3,Several times a week,Sports,Conversational,Well known individuals,Longer,Very Satisfied
20-35,Female,6 months to 1 year,Smartphone,Free,No,Free,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,4,Rarely,Comedy,Conversational,Both,Shorter,Ok
20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Individual Plan,Yes,Individual Plan,Music,Electronic/Dance,Night,Relaxation and stress relief,leisure time,"recommendations, Playlists",4,Rarely,Lifestyle and Health,Educational,None,None,Ok
20-35,Male,Less than 6 months,Smartphone,Free,No,Free,Music,classical,Night,Relaxation and stress relief,While Traveling,recommendations,5,Rarely,Sports,None,Well known individuals,Shorter,Ok
20-35,Male,More than 2 years,Smartphone,Free,No,Free,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists",4,Never,None,None,None,None,Ok
20-35,Female,6 months to 1 year,Smartphone,Free,No,Free,Music,Melody,Night,Relaxation and stress relief,"While Traveling, Workout session",Playlists,3,Daily,Lifestyle and Health,Story telling,Well known individuals,Shorter,Very Satisfied
20-35,Male,1 year to 2 years,"Smartphone, Smart speakers or voice assistants",Free,No,Free,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","Office hours, While Traveling","Radio, Others",4,Several times a week,Sports,Educational,Both,Longer,Satisfied
20-35,Male,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Individual Plan,Yes,Individual Plan,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists",4,Never,None,None,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free,No,Free,Music,Pop,Morning,Uplifting and motivational,"While Traveling, Workout session","recommendations, Playlists",4,Rarely,Lifestyle and Health,Conversational,Both,Both,Ok
20-35,Female,1 year to 2 years,Smartphone,Free,No,Free,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,4,Rarely,Comedy,Conversational,Well known individuals,Shorter,Ok
20-35,Female,6 months to 1 year,Smartphone,Free,No,Free,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time",Playlists,5,Several times a week,Comedy,Interview,Well known individuals,Shorter,Very Satisfied
20-35,Female,1 year to 2 years,Smart speakers or voice assistants,Free,Yes,Duo plan,Podcast,classical,Morning,Sadness or melancholy,While Traveling,Radio,3,Once a week,Health and Fitness,Story telling,unknown Podcasters,Both,Satisfied
20-35,Female,1 year to 2 years,Smart speakers or voice assistants,Family Plan,Yes,Family Plan,Podcast,Rap,Afternoon,"Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session","Playlists, Radio",3,Once a week,Sports,Interview,Well known individuals,Shorter,Satisfied
20-35,Female,6 months to 1 year,Smart speakers or voice assistants,Duo plan,Yes,Duo plan,Podcast,classical,Afternoon,Uplifting and motivational,While Traveling,Radio,2,Once a week,Health and Fitness,Story telling,unknown Podcasters,Longer,Ok
20-35,Female,1 year to 2 years,Computer or laptop,Free,Yes,Duo plan,Podcast,Rap,Morning,Uplifting and motivational,While Traveling,Radio,2,Once a week,Health and Fitness,Story telling,unknown Podcasters,Both,Ok
20-35,Female,6 months to 1 year,Computer or laptop,Free,Yes,Duo plan,Podcast,classical,Afternoon,Sadness or melancholy,"While Traveling, leisure time",recommendations,3,Once a week,Lifestyle and Health,Educational,Both,Both,Satisfied
20-35,Female,1 year to 2 years,Computer or laptop,Free,No,Free,Podcast,classical,Morning,Uplifting and motivational,While Traveling,"Radio, Others",2,Several times a week,Lifestyle and Health,Story telling,Both,Shorter,Ok
20-35,Female,1 year to 2 years,"Computer or laptop, Smart speakers or voice assistants",Free,No,Free,Podcast,classical,Morning,Uplifting and motivational,Workout session,Radio,2,Several times a week,Food and cooking,Story telling,unknown Podcasters,Longer,Ok
20-35,Female,More than 2 years,"Computer or laptop, Smart speakers or voice assistants",Free,Yes,Family Plan,Podcast,classical,Morning,Uplifting and motivational,Workout session,Radio,2,Once a week,Health and Fitness,Interview,unknown Podcasters,Both,Ok
35-60,Male,6 months to 1 year,Computer or laptop,Free,No,Free,Podcast,Melody,Morning,Sadness or melancholy,Workout session,Radio,3,Once a week,Health and Fitness,Interview,unknown Podcasters,Both,Dissatisfied
20-35,Male,6 months to 1 year,Smart speakers or voice assistants,Free,Yes,Student Plan,Podcast,Rap,Morning,Relaxation and stress relief,"While Traveling, Workout session","Playlists, Radio",3,Several times a week,Food and cooking,Interview,unknown Podcasters,Longer,Ok
20-35,Female,1 year to 2 years,"Computer or laptop, Wearable devices",Duo plan,Yes,Duo plan,Podcast,classical,Afternoon,Uplifting and motivational,"While Traveling, leisure time","Playlists, Others",2,Once a week,Health and Fitness,Story telling,unknown Podcasters,Both,Dissatisfied
20-35,Female,6 months to 1 year,"Computer or laptop, Smart speakers or voice assistants",Free,Yes,Duo plan,Music,classical,Afternoon,"Uplifting and motivational, Sadness or melancholy","Study Hours, Workout session","Playlists, Radio",2,Once a week,Sports,Story telling,Both,Longer,Ok
20-35,Female,6 months to 1 year,Smart speakers or voice assistants,Free,Yes,Duo plan,Podcast,classical,Afternoon,Relaxation and stress relief,While Traveling,"Radio, Others",3,Once a week,Health and Fitness,Interview,unknown Podcasters,Longer,Ok
35-60,Female,1 year to 2 years,Smart speakers or voice assistants,Free,Yes,Family Plan,Music,classical,Afternoon,Uplifting and motivational,"Study Hours, Workout session",Radio,2,Rarely,Health and Fitness,Interview,unknown Podcasters,Longer,Ok
20-35,Female,6 months to 1 year,Computer or laptop,Free,Yes,Family Plan,Music,classical,Morning,Uplifting and motivational,While Traveling,Playlists,3,Once a week,Health and Fitness,Educational,Both,Both,Ok
20-35,Female,6 months to 1 year,"Smartphone, Computer or laptop, Wearable devices",Free,No,Free,Podcast,classical,Morning,"Uplifting and motivational, Sadness or melancholy",Workout session,Others,4,Rarely,Sports,Story telling,Both,Longer,Dissatisfied
35-60,Others,More than 2 years,Wearable devices,Family Plan,Yes,Family Plan,Music,Electronic/Dance,Morning,Uplifting and motivational,"Study Hours, Workout session","Playlists, Radio, Others",2,Rarely,Health and Fitness,Story telling,Both,Longer,Satisfied
20-35,Female,6 months to 1 year,Computer or laptop,Free,No,Free,Podcast,Rap,Morning,Uplifting and motivational,While Traveling,Playlists,2,Several times a week,Lifestyle and Health,Conversational,Both,Both,Dissatisfied
20-35,Others,6 months to 1 year,Smart speakers or voice assistants,Free,No,Free,Podcast,classical,Morning,Social gatherings or parties,While Traveling,recommendations,2,Once a week,Lifestyle and Health,Interview,Well known individuals,Both,Very Satisfied
20-35,Male,6 months to 1 year,Smartphone,Free,No,Free,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,2,Never,None,None,None,None,Ok
35-60,Male,6 months to 1 year,Smartphone,Free,No,Free,Music,Melody,Night,Uplifting and motivational,While Traveling,Playlists,4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied
20-35,Female,More than 2 years,Smartphone,Free,No,Free,Music,Melody,Night,Relaxation and stress relief,While Traveling,"Playlists, Radio",4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied
20-35,Male,Less than 6 months,Smartphone,Free,No,Free,Music,trending songs random,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,3,Never,None,None,None,None,Ok
20-35,Male,More than 2 years,Smartphone,Free,No,Free,Music,Melody,Night,Relaxation and stress relief,"While Traveling, Workout session, leisure time",recommendations,4,Several times a week,Health and Fitness,Conversational,Well known individuals,Both,Satisfied
35-60,Female,1 year to 2 years,Smartphone,Free,No,Free,Music,Melody,Morning,Relaxation and stress relief,leisure time,Playlists,5,Rarely,Comedy,Interview,Well known individuals,Shorter,Ok
20-35,Female,6 months to 1 year,Smartphone,Free,No,Free,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties",While Traveling,"recommendations, Playlists",5,Several times a week,Comedy,Conversational,Both,Shorter,Ok
20-35,Female,1 year to 2 years,Smartphone,Free,No,Free,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,4,Never,None,None,None,None,Ok
35-60,Female,More than 2 years,Smartphone,Duo plan,Yes,Duo plan,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,5,Rarely,Food and cooking,Educational,Well known individuals,Shorter,Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free,No,Free,Music,Electronic/Dance,Night,Relaxation and stress relief,leisure time,Playlists,5,Rarely,Comedy,Interview,Well known individuals,Shorter,Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free,No,Free,Music,Melody,Morning,Relaxation and stress relief,While Traveling,Playlists,4,Rarely,Lifestyle and Health,Story telling,Both,Shorter,Ok
20-35,Female,6 months to 1 year,Smartphone,Free,Yes,Student Plan,Music,Pop,Night,Uplifting and motivational,"While Traveling, leisure time","Playlists, Radio",4,Never,None,None,None,None,Ok
20-35,Male,1 year to 2 years,Smartphone,Free,No,Free,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,3,Rarely,Lifestyle and Health,Educational,Well known individuals,Both,Satisfied
20-35,Male,Less than 6 months,Smartphone,Free,No,Free,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling","recommendations, Playlists",1,Never,None,None,None,None,Ok
20-35,Female,1 year to 2 years,Smartphone,Free,No,Free,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational","Office hours, Study Hours, While Traveling, leisure time","recommendations, Playlists",3,Rarely,Lifestyle and Health,Story telling,Well known individuals,Shorter,Ok
20-35,Female,More than 2 years,Smartphone,Free,No,Free,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists, Others",4,Never,None,None,None,None,Ok
20-35,Male,6 months to 1 year,"Smartphone, Computer or laptop",Free,Yes,Student Plan,Music,classical,Morning,Relaxation and stress relief,"Study Hours, While Traveling, leisure time","recommendations, Playlists",4,Never,None,None,None,None,Ok
20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Free,No,Free,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time","recommendations, Playlists",3,Rarely,Comedy,Interview,Well known individuals,Shorter,Ok
20-35,Male,1 year to 2 years,Smartphone,Free,No,Free,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session","recommendations, Playlists",4,Never,None,None,None,None,Ok
20-35,Female,1 year to 2 years,Smartphone,Free,No,Free,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,5,Daily,Comedy,Conversational,Well known individuals,Both,Very Satisfied
20-35,Female,More than 2 years,Smartphone,Free,No,Free,Music,Melody,Night,"Relaxation and stress relief, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",5,Rarely,Lifestyle and Health,Story telling,Both,Both,Satisfied
20-35,Female,More than 2 years,Smartphone,Free,No,Free,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,5,Rarely,Lifestyle and Health,Story telling,Both,Shorter,Ok
20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Free,No,Free,Music,classical,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","Study Hours, While Traveling, Workout session, leisure time","recommendations, Playlists, Others",4,Once a week,Health and Fitness,Interview,Well known individuals,Shorter,Satisfied
20-35,Female,6 months to 1 year,Smartphone,Free,Yes,Individual Plan,Music,classical,Night,"Relaxation and stress relief, Uplifting and motivational",leisure time,"recommendations, Playlists",4,Never,None,None,None,None,Ok
20-35,Female,6 months to 1 year,Smartphone,Free,No,Free,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,3,Never,None,None,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free,Yes,Student Plan,Music,Melody,Night,Relaxation and stress relief,"Study Hours, While Traveling",Playlists,5,Rarely,Comedy,Story telling,Both,Shorter,Very Satisfied
20-35,Male,More than 2 years,Smartphone,Free,No,Free,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session",Playlists,5,Never,None,None,Both,None,Dissatisfied
20-35,Male,1 year to 2 years,Smartphone,Free,No,Free,Music,classical,Night,Relaxation and stress relief,"Office hours, While Traveling, Workout session",Playlists,5,Never,None,None,None,None,Satisfied
20-35,Female,6 months to 1 year,Smartphone,Free,No,Free,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,3,Never,None,None,None,None,Ok
20-35,Female,1 year to 2 years,Smartphone,Free,No,Free,Music,Melody,Morning,Relaxation and stress relief,While Traveling,Others,4,Never,None,None,None,None,Ok
20-35,Female,More than 2 years,Computer or laptop,Free,No,Free,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,5,Rarely,Lifestyle and Health,Interview,Well known individuals,Shorter,Satisfied
20-35,Male,More than 2 years,Smartphone,Individual Plan,Yes,Individual Plan,Music,Pop,Night,Relaxation and stress relief,While Traveling,"recommendations, Radio",4,Daily,Lifestyle and Health,Educational,Well known individuals,Shorter,Very Satisfied
20-35,Male,1 year to 2 years,Smartphone,Free,No,Student Plan,Music,Rock,Night,Relaxation and stress relief,leisure time,recommendations,2,Rarely,Comedy,Conversational,Well known individuals,Both,Ok
20-35,Female,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Free,Yes,Student Plan,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","Office hours, leisure time",recommendations,5,Several times a week,Lifestyle and Health,Conversational,Both,Shorter,Ok
20-35,Female,Less than 6 months,Smartphone,Free,No,Student Plan,Music,Melody,Night,Relaxation and stress relief,Workout session,Others,2,Rarely,Lifestyle and Health,Conversational,Both,Shorter,Dissatisfied
20-35,Female,Less than 6 months,Smartphone,Free,No,Student Plan,Podcast,Melody,Afternoon,Relaxation and stress relief,leisure time,recommendations,5,Once a week,Health and Fitness,Conversational,Both,Shorter,Satisfied
20-35,Female,Less than 6 months,Smartphone,Free,No,Free,Music,Melody,Night,Relaxation and stress relief,leisure time,recommendations,3,Never,Food and cooking,None,None,None,Ok
20-35,Female,More than 2 years,Smartphone,Free,Yes,Individual Plan,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","While Traveling, leisure time","recommendations, Playlists",5,Never,None,None,None,None,Ok
20-35,Female,1 year to 2 years,Smartphone,Free,No,Student Plan,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,3,Daily,None,Educational,unknown Podcasters,Shorter,Ok
20-35,Female,1 year to 2 years,Smartphone,Free,No,Family Plan,Music,Rap,Afternoon,"Relaxation and stress relief, Uplifting and motivational",While Traveling,Others,4,Daily,None,Story telling,unknown Podcasters,Longer,Satisfied
20-35,Male,More than 2 years,Smartphone,Free,No,Individual Plan,Music,Melody,Morning,Relaxation and stress relief,"Office hours, Workout session",Others,3,Never,None,None,None,None,Very Dissatisfied
20-35,Male,1 year to 2 years,Smartphone,Free,No,Student Plan,Music,Pop,Night,Relaxation and stress relief,While Traveling,recommendations,4,Never,None,None,None,None,Ok
20-35,Male,1 year to 2 years,Smartphone,Free,No,Free,Music,Melody,Morning,Relaxation and stress relief,Workout session,recommendations,4,Daily,Sports,None,Both,Shorter,Satisfied
20-35,Male,More than 2 years,Smartphone,Free,No,Student Plan,Music,Melody,Morning,"Relaxation and stress relief, Sadness or melancholy",While Traveling,Playlists,4,Rarely,None,Interview,Well known individuals,Longer,Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free,No,Student Plan,Music,Pop,Night,"Relaxation and stress relief, Sadness or melancholy",While Traveling,Playlists,5,Once a week,Comedy,Story telling,Both,Both,Very Satisfied
20-35,Female,6 months to 1 year,Smartphone,Free,Yes,Individual Plan,Music,Melody,Night,Relaxation and stress relief,"Study Hours, While Traveling, leisure time","recommendations, Playlists",4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied
20-35,Female,Less than 6 months,Smartphone,Duo plan,No,Duo plan,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,5,Never,None,None,None,None,Very Dissatisfied
20-35,Female,More than 2 years,Smartphone,Free,No,Duo plan,Music,classical,Night,Uplifting and motivational,"While Traveling, Workout session",recommendations,4,Several times a week,Comedy,Story telling,Both,Shorter,Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free,Yes,Individual Plan,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","While Traveling, Workout session, leisure time","recommendations, Playlists",4,Several times a week,Health and Fitness,Story telling,Well known individuals,Shorter,Very Satisfied
20-35,Female,More than 2 years,Smartphone,Free,No,Free,Music,Melody,Night,Sadness or melancholy,leisure time,Playlists,2,Never,None,None,Well known individuals,Shorter,Satisfied
20-35,Female,More than 2 years,"Smartphone, Wearable devices",Free,Yes,Duo plan,Music,All,Night,Uplifting and motivational,leisure time,"recommendations, Playlists",5,Once a week,Dance and Relevant cases ,Conversational,unknown Podcasters,Shorter,Satisfied
20-35,Female,6 months to 1 year,Smartphone,Free,No,Free,Music,Melody,Afternoon,Relaxation and stress relief,Workout session,Playlists,5,Once a week,Comedy,Interview,Well known individuals,Shorter,Ok
20-35,Female,1 year to 2 years,Smartphone,Free,No,Student Plan,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","Office hours, Workout session",Others,5,Never,None,Conversational,Well known individuals,Shorter,Ok
20-35,Female,1 year to 2 years,Smartphone,Free,No,Free,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,4,Never,Comedy,Story telling,Well known individuals,Shorter,Ok
20-35,Female,6 months to 1 year,Smartphone,Free,No,Individual Plan,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied
20-35,Female,More than 2 years,Smartphone,Individual Plan,Yes,Individual Plan,Music,Pop,Night,"Relaxation and stress relief, Sadness or melancholy","While Traveling, leisure time","recommendations, Playlists",5,Rarely,Lifestyle and Health,Conversational,Well known individuals,Shorter,Ok
20-35,Male,6 months to 1 year,Smartphone,Free,No,Student Plan,Music,classical,Night,Social gatherings or parties,leisure time,Playlists,3,Never,None,None,None,None,Very Dissatisfied
20-35,Male,6 months to 1 year,Smartphone,Free,No,Student Plan,Music,classical,Night,Social gatherings or parties,leisure time,"recommendations, Others",3,Never,None,None,None,None,Very Dissatisfied
20-35,Female,More than 2 years,Smartphone,Student Plan,Yes,Student Plan,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,3,Rarely,Lifestyle and Health,Educational,Both,Shorter,Satisfied
20-35,Female,More than 2 years,Smartphone,Free,No,Duo plan,Music,Melody,Night,Relaxation and stress relief,Study Hours,Playlists,5,Rarely,Comedy,Story telling,Both,Both,Satisfied
20-35,Male,6 months to 1 year,"Smartphone, Computer or laptop",Free,No,Free,Music,Pop,Night,Relaxation and stress relief,"Office hours, Workout session",recommendations,5,Several times a week,Sports,None,Both,Both,Very Satisfied
20-35,Male,1 year to 2 years,"Smartphone, Computer or laptop",Individual Plan,Yes,Individual Plan,Music,Melody,Afternoon,Relaxation and stress relief,"Office hours, Study Hours, While Traveling","recommendations, Playlists, Others",3,Rarely,Technology,Educational,Both,Shorter,Ok
20-35,Female,Less than 6 months,Wearable devices,Free,No,Individual Plan,Music,Melody,Morning,Relaxation and stress relief,While Traveling,recommendations,3,Never,None,None,None,None,Ok
20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Free,No,Student Plan,Music,Melody,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",4,Rarely,Health and Fitness,Conversational,Well known individuals,Shorter,Satisfied
20-35,Female,More than 2 years,Smartphone,Free,No,Student Plan,Podcast,classical,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, leisure time","recommendations, Playlists, Others",3,Once a week,General knowledge ,Story telling,Both,Both,Satisfied
20-35,Female,More than 2 years,Smartphone,Free,No,Free,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, Study Hours, While Traveling, Workout session, leisure time","Playlists, Radio",3,Rarely,Lifestyle and Health,Story telling,Well known individuals,Shorter,Ok
20-35,Male,More than 2 years,Smartphone,Free,No,Duo plan,Music,All,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties",Random ,"recommendations, Others",5,Rarely,None,None,None,None,Ok
20-35,Female,1 year to 2 years,Smartphone,Free,No,Student Plan,Music,Pop,Morning,"Uplifting and motivational, Sadness or melancholy","Office hours, While Traveling, Workout session",recommendations,3,Never,None,Educational,Both,Shorter,Ok
20-35,Female,1 year to 2 years,Smartphone,Free,Yes,Individual Plan,Music,Melody,Morning,Relaxation and stress relief,Workout session,Playlists,4,Rarely,Health and Fitness,Educational,Well known individuals,Longer,Satisfied
20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop",Free,No,Individual Plan,Music,Melody,Night,"Relaxation and stress relief, Social gatherings or parties","While Traveling, Workout session, leisure time","Playlists, Others",4,Rarely,None,Story telling,Both,Both,Ok
20-35,Male,6 months to 1 year,Smartphone,Free,No,Individual Plan,Music,Rap,Morning,Relaxation and stress relief,Office hours,recommendations,4,Never,None,None,None,None,Ok
20-35,Female,More than 2 years,Smartphone,Free,No,Duo plan,Music,Pop,Morning,Relaxation and stress relief,While Traveling,Playlists,3,Rarely,Lifestyle and Health,Conversational,unknown Podcasters,Shorter,Ok
20-35,Male,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Family Plan,Yes,Family Plan,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, Study Hours, While Traveling, Workout session, leisure time","recommendations, Playlists, Others",3,Once a week,Comedy,Conversational,Both,Both,Satisfied
20-35,Female,6 months to 1 year,Smartphone,Free,No,Student Plan,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time","recommendations, Playlists",2,Never,None,Story telling,None,Shorter,Very Dissatisfied
20-35,Female,More than 2 years,Smartphone,Free,No,Free,Music,Electronic/Dance,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",5,Daily,Sports,Conversational,Both,Both,Very Satisfied
